Protein_ID (FAMeDB)	Protein name (as in reference)	Protein description	Protein names (Uniprot)	Acc.No.	locus tag (alternative e.g. not in uniprot)	InterPro	InterPro description	EC number (eggNOG)	Ortholog_Cluster_(similarity_of_domain_composition)	KEGG_ko_kofam	KEGG_ko_koala	Organism	Organism (ID)	Taxonomic lineage (Ids)	References (DOI ID)
P10248	PAL_Rhomi	Phenylalanine ammonia-lyase (EC 4.3.1.24)	Phenylalanine ammonia-lyase (EC 4.3.1.24)	P10248		IPR001106; IPR024083; IPR005922; IPR022313; IPR008948; IPR023144	Aromatic amino acid lyase; Fumarase/histidase, N-terminal; Phenylalanine ammonia-lyase; Phenylalanine/histidine ammonia-lyases, active site; L-Aspartase-like; Phenylalanine ammonia-lyase, shielding domain superfamily	4.3.1.24	29	K10775	K10775	Rhodotorula mucilaginosa (Yeast) (Rhodotorula rubra)	5537	131567, 2759, 33154, 4751, 451864, 5204, 29000, 162481, 231213, 1799696, 5533	10.1093/gbe/evt208; 10.1016/bs.ampbs.2019.07.003
P11544	PAL_Rhoto	Phenylalanine/tyrosine ammonia-lyase (EC 4.3.1.25) (Bifunctional phenylalanine ammonia-lyase) (Bifunctional PAL)	Phenylalanine/tyrosine ammonia-lyase (EC 4.3.1.25) (Bifunctional phenylalanine ammonia-lyase) (Bifunctional PAL)	P11544		IPR023144; IPR005922; IPR001106; IPR022313; IPR024083; IPR008948	Phenylalanine ammonia-lyase, shielding domain superfamily; Phenylalanine ammonia-lyase; Aromatic amino acid lyase; Phenylalanine/histidine ammonia-lyases, active site; Fumarase/histidase, N-terminal; L-Aspartase-like	4.3.1.24	29	K10775	K10775	Rhodotorula toruloides (Yeast) (Rhodosporidium toruloides)	5286	131567, 2759, 33154, 4751, 451864, 5204, 29000, 162481, 231213, 1799696, 5533	10.1186/1471-2164-12-628
Q06408	ARO10	Transaminated amino acid decarboxylase	Transaminated amino acid decarboxylase (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (EC 4.1.1.80) (Thiamine diphosphate-dependent phenylpyruvate decarboxylase) (PPDC) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC) (Transaminated branched-chain amino acid decarboxylase)	Q06408		IPR047214; IPR012001; IPR012110; IPR029061; IPR011766; IPR012000; IPR047213; IPR029035	Pyruvate decarboxylase/indolepyruvate decarboxylase-like, PP-binding domain; Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain; Pyruvate decarboxylase/indolepyruvate decarboxylase-like; Thiamin diphosphate-binding fold; Thiamine pyrophosphate enzyme, TPP-binding; Thiamine pyrophosphate enzyme, central domain; Pyruvate decarboxylase/indolepyruvate decarboxylase-like, pyrimidine-binding domain; DHS-like NAD/FAD-binding domain superfamily	N/A	86	K12732	K12732	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 4893, 4930, 4932	10.1186/1471-2164-12-628
P53090	ARO8_Yeast	Aromatic/aminoadipate aminotransferase 1 (2-aminoadipate aminotransferase) (EC 2.6.1.39)	Aromatic/aminoadipate aminotransferase 1 (2-aminoadipate aminotransferase) (EC 2.6.1.39) (2-aminoadipate transaminase) (Alpha-aminoadipate aminotransferase) (AadAT) (Aromatic amino acid aminotransferase 1) (EC 2.6.1.57) (Aromatic amino acid aminotransferase I) (Aromatic amino acid-requiring protein 8)	P53090		IPR015424; IPR050859; IPR004839; IPR015421	Pyridoxal phosphate-dependent transferase; Class-I pyridoxal-phosphate-dependent aminotransferase-like; Aminotransferase, class I/classII, large domain; Pyridoxal phosphate-dependent transferase, major domain	2.6.1.27,2.6.1.39,2.6.1.5,2.6.1.57	36	K00838	K00838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 4893, 4930, 4932	10.1099/mic.0.048215-0; 10.1186/1471-2164-12-628
Q04052	ARO80	Transcriptional activator ARO80	Transcriptional activator ARO80	Q04052		IPR036864; IPR001138; IPR052780	Zn(2)-C6 fungal-type DNA-binding domain superfamily; Zn(2)Cys(6) fungal-type DNA-binding domain; Aromatic Amino Acid Catabolism Transcriptional Regulators	N/A	95	N/A	N/A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 4893, 4930, 4932	10.1099/mic.0.048215-0; 10.1186/1471-2164-12-628
P38840	ARO9	Aromatic amino acid aminotransferase 2	Aromatic amino acid aminotransferase 2 (EC 2.6.1.57) (Aromatic amino acid aminotransferase II) (Aromatic amino acid-requiring protein 9) (Kynurenine aminotransferase I) (KAT I) (EC 2.6.1.7)	P38840		IPR015421; IPR050859; IPR004839; IPR015424	Pyridoxal phosphate-dependent transferase, major domain; Class-I pyridoxal-phosphate-dependent aminotransferase-like; Aminotransferase, class I/classII, large domain; Pyridoxal phosphate-dependent transferase	2.6.1.28,2.6.1.58	36	K05821	K05821	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 4893, 4930, 4932	10.1038/s41598-017-09408-6; 10.1186/1471-2164-12-628
P32452	PHA2	Probable prephenate dehydratase (PDT) (EC 4.2.1.51) (Phenylalanine-requiring protein 2)	Probable prephenate dehydratase (PDT) (EC 4.2.1.51) (Phenylalanine-requiring protein 2)	P32452		IPR002912; IPR045865; IPR008242; IPR001086	ACT domain; ACT-like domain; Bifunctional P-protein, chorismate mutase/prephenate dehydratase; Prephenate dehydratase	4.2.1.51	84	N/A	K04518	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 4893, 4930, 4932	10.1016/bs.ampbs.2019.07.003
P00899	TRP2	Anthranilate synthase component 1 (EC 4.1.3.27)	Anthranilate synthase component 1 (EC 4.1.3.27) (Anthranilate synthase component I)	P00899	YER090W	IPR005256; IPR005801; IPR006805; IPR019999; IPR015890	Anthranilate synthase component I, PabB-like; ADC synthase; Anthranilate synthase component I, N-terminal; Anthranilate synthase component I-like; Chorismate-utilising enzyme, C-terminal	4.1.3.27	65	K01657	K01657	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 4893, 4930, 4932	10.1016/bs.ampbs.2019.07.003
P20049	TYR1	Prephenate dehydrogenase [NADP(+)] (PRDH) (EC 1.3.1.13)	Prephenate dehydrogenase [NADP(+)] (PRDH) (EC 1.3.1.13)	P20049		IPR050812; IPR006115; IPR012385; IPR008927; IPR003099; IPR036291	Prephenate/Arogenate Dehydrogenase; 6-phosphogluconate dehydrogenase, NADP-binding; Prephenate dehydrogenase, fungal; 6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily; Prephenate dehydrogenase; NAD(P)-binding domain superfamily	1.3.1.13	77	K00211	K00211	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 4893, 4930, 4932	10.1016/bs.ampbs.2019.07.003
O94582	Trp3	Anthranilate synthase component 1 (EC 4.1.3.27)	Probable anthranilate synthase component 1 (EC 4.1.3.27) (Anthranilate synthase component I)	O94582		IPR019999; IPR006805; IPR005801; IPR015890; IPR005256	Anthranilate synthase component I-like; Anthranilate synthase component I, N-terminal; ADC synthase; Chorismate-utilising enzyme, C-terminal; Anthranilate synthase component I, PabB-like	4.1.3.27	65	K01657	K01657	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	284812	131567, 2759, 33154, 4751, 451864, 4890, 451866, 147554, 34346, 4894, 4895, 4896	10.1016/bs.ampbs.2019.07.003
Q4WHU1	HppD	4-Hydroxyphenylpyruvate dioxygenase (4HPPD) (HPD) (HPPDase) (EC 1.13.11.27) (L-tyrosine degradation gene cluster protein hppD) (Pyomelanin biosynthesis cluster protein hppD)	4-hydroxyphenylpyruvate dioxygenase (4HPPD) (HPD) (HPPDase) (EC 1.13.11.27) (L-tyrosine degradation gene cluster protein hppD) (Pyomelanin biosynthesis cluster protein hppD)	Q4WHU1		IPR041735; IPR005956; IPR037523; IPR041736; IPR029068; IPR004360	4-hydroxyphenylpyruvate dioxygenase, C-terminal; 4-hydroxyphenylpyruvate dioxygenase; Vicinal oxygen chelate (VOC), core domain; 4-hydroxyphenylpyruvate dioxygenase, N-terminal; Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase; Glyoxalase/fosfomycin resistance/dioxygenase domain	1.13.11.27	46	K00457	K00457	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720872, 746128	10.1016/bs.ampbs.2019.07.003
Q5BC32	HmgX	4-Hydroxyphenylpyruvate dioxygenase accessory unit	Uncharacterized protein	Q5BC32	AN1898	IPR038906	Tetratricopeptide repeat protein 36	N/A	105	N/A	N/A	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239874, 2916678, 766764, 1535325, 5475, 5476	10.3389/fmicb.2021.630753
C8VKK0	HpdA	4-Hydroxyphenylpyruvate dioxygenase (EC 1.14.13.27)	4-hydroxyphenylpyruvate dioxygenase	C8VKK0	AN1899	IPR005956; IPR029068; IPR041736; IPR037523; IPR004360; IPR041735	4-hydroxyphenylpyruvate dioxygenase; Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase; 4-hydroxyphenylpyruvate dioxygenase, N-terminal; Vicinal oxygen chelate (VOC), core domain; Glyoxalase/fosfomycin resistance/dioxygenase domain; 4-hydroxyphenylpyruvate dioxygenase, C-terminal	1.13.11.27	46	K00457	K00457	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720870, 162425	10.3389/fmicb.2021.630753
O42764	HPPD_Zymtr	4-Hydroxyphenylpyruvate dioxygenase (4HPPD) (HPD) (HPPDase) (EC 1.13.11.27)	4-hydroxyphenylpyruvate dioxygenase (4HPPD) (HPD) (HPPDase) (EC 1.13.11.27)	O42764		IPR041735; IPR037523; IPR041736; IPR005956; IPR029068; IPR004360	4-hydroxyphenylpyruvate dioxygenase, C-terminal; Vicinal oxygen chelate (VOC), core domain; 4-hydroxyphenylpyruvate dioxygenase, N-terminal; 4-hydroxyphenylpyruvate dioxygenase; Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase; Glyoxalase/fosfomycin resistance/dioxygenase domain	1.13.11.27	46	K00457	K00457	Zymoseptoria tritici (Speckled leaf blotch fungus) (Septoria tritici)	1047171	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715962, 147541, 451867, 2726947, 93133, 1047167	10.1128/aem.02077-08; 10.1016/j.fgb.2009.08.005; 10.1371/journal.pone.0026604
Q7RYT1	Ahd-2	Alhehyde dehydrogenase-2 (indole-2-acetaldehyde dehydrogenase)	aldehyde dehydrogenase (NAD(+)) (EC 1.2.1.3)	Q7RYT1		IPR016161; IPR016162; IPR029510; IPR016163; IPR015590	Aldehyde/histidinol dehydrogenase; Aldehyde dehydrogenase, N-terminal; Aldehyde dehydrogenase, glutamic acid active site; Aldehyde dehydrogenase, C-terminal; Aldehyde dehydrogenase domain	1.2.1.3,1.2.1.5	22	K00128	K00128	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222544, 5139, 5148, 5140, 5141	10.1073/pnas.92.20.9132; 10.1074/jbc.273.1.329
Q7S275	Ahd-3	Alhehyde dehydrogenase-3	aldehyde dehydrogenase (NAD(+)) (EC 1.2.1.3)	Q7S275		IPR016163; IPR029510; IPR015590; IPR016162; IPR044086; IPR016161	Aldehyde dehydrogenase, C-terminal; Aldehyde dehydrogenase, glutamic acid active site; Aldehyde dehydrogenase domain; Aldehyde dehydrogenase, N-terminal; Aldehyde dehydrogenase LUC3-like; Aldehyde/histidinol dehydrogenase	N/A	22	N/A	N/A	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222544, 5139, 5148, 5140, 5141	10.1111/1751-7915.14371; 10.1074/jbc.270.36.21199
V5IRM1	Aro8	Aromatic aminotransferase Aro8 (indole-3-pyruvic acid forming from tryptophan)	aromatic-amino-acid transaminase (EC 2.6.1.57)	V5IRM1		IPR015424; IPR050859; IPR004839; IPR015421	Pyridoxal phosphate-dependent transferase; Class-I pyridoxal-phosphate-dependent aminotransferase-like; Aminotransferase, class I/classII, large domain; Pyridoxal phosphate-dependent transferase, major domain	2.6.1.27,2.6.1.39,2.6.1.5,2.6.1.57	36	K00838	K00838	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222544, 5139, 5148, 5140, 5141	10.1038/srep45073
Q1K5E9	Cbs-3	Alhehyde dehydrogenase (indole-2-acetaldehyde dehydrogenase)	Aldehyde dehydrogenase (EC 1.2.1.3)	Q1K5E9		IPR015590; IPR029510; IPR016160; IPR016161; IPR016162; IPR016163	Aldehyde dehydrogenase domain; Aldehyde dehydrogenase, glutamic acid active site; Aldehyde dehydrogenase, cysteine active site; Aldehyde/histidinol dehydrogenase; Aldehyde dehydrogenase, N-terminal; Aldehyde dehydrogenase, C-terminal	1.2.1.3,1.2.1.5	22	K00128	K00128	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222544, 5139, 5148, 5140, 5141	10.1016/bs.ampbs.2019.07.003
P33287	Cfp	Pyruvate decarboxylase (indole-3-pyruvic acid decarboxylase)	Pyruvate decarboxylase (EC 4.1.1.1) (8-10 nm cytoplasmic filament-associated protein) (P59NC)	P33287		IPR029035; IPR012000; IPR000399; IPR029061; IPR047213; IPR012110; IPR047214; IPR011766; IPR012001	DHS-like NAD/FAD-binding domain superfamily; Thiamine pyrophosphate enzyme, central domain; TPP-binding enzyme, conserved site; Thiamin diphosphate-binding fold; Pyruvate decarboxylase/indolepyruvate decarboxylase-like, pyrimidine-binding domain; Pyruvate decarboxylase/indolepyruvate decarboxylase-like; Pyruvate decarboxylase/indolepyruvate decarboxylase-like, PP-binding domain; Thiamine pyrophosphate enzyme, TPP-binding; Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain	4.1.1.1	86	K01568	K01568	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222544, 5139, 5148, 5140, 5141	10.1016/bs.ampbs.2019.07.003
Q7S5H6	Gdc-3	Glutamate decarboxylase-3	Glutamate decarboxylase	Q7S5H6		IPR015424; IPR015421; IPR002129	Pyridoxal phosphate-dependent transferase; Pyridoxal phosphate-dependent transferase, major domain; Pyridoxal phosphate-dependent decarboxylase	4.1.1.15	109	K01580	K01580	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222544, 5139, 5148, 5140, 5141	10.1186/s12934-021-01643-x
Q1K874	Lao-2	L-amino acid oxidase-2	L-amino acid oxidase	Q1K874		IPR036188; IPR050281; IPR002937	FAD/NAD(P)-binding domain superfamily; Flavin monoamine oxidase and related enzymes; Amine oxidase	N/A	100	N/A	N/A	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222544, 5139, 5148, 5140, 5141	10.1186/s12934-021-01643-x
Q1K7B9	Mox-2	Indole-3-pyruvic acid monooxygenase (decarboxilating)	Flavin dependent monooxygenase	Q1K7B9		IPR036188; IPR050346; IPR020946	FAD/NAD(P)-binding domain superfamily; Flavin-containing monooxygenases-like; Flavin monooxygenase-like	N/A	99	N/A	N/A	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222544, 5139, 5148, 5140, 5141	10.1186/s12934-021-01643-x
Q7RWL7	Naa-2	N-acylethanolamine amidohydrolase-2	N-acylethanolamine amidohydrolase	Q7RWL7		IPR023631; IPR000120; IPR036928; IPR020556	Amidase signature domain; Amidase; Amidase signature (AS) superfamily; Amidase, conserved site	3.5.1.4	108	N/A	N/A	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222544, 5139, 5148, 5140, 5141	10.1128/aem.01753-23
Q30KV5	PhenA	Prephenate dehydratase (EC 4.2.1.51)	prephenate dehydratase (EC 4.2.1.51)	Q30KV5	AN11135	IPR045865; IPR018528; IPR001086; IPR008242; IPR002912	ACT-like domain; Prephenate dehydratase, conserved site; Prephenate dehydratase; Bifunctional P-protein, chorismate mutase/prephenate dehydratase; ACT domain	4.2.1.51	84	K04518	N/A	Emericella nidulans (Aspergillus nidulans)	162425	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720870	10.1128/aem.01753-23
L7PB94	DHPR	Dihydropteridine reductase (EC 1.5.1.34) (Quinoid dihydropteridine reductase)	Dihydropteridine reductase (EC 1.5.1.34) (Quinoid dihydropteridine reductase)	L7PB94	AFR32909.1	IPR036291; IPR002347; IPR020904	NAD(P)-binding domain superfamily; Short-chain dehydrogenase/reductase SDR; Short-chain dehydrogenase/reductase, conserved site	N/A	45	K00357	K00357	Mortierella alpina (Oleaginous fungus) (Mortierella renispora)	64518	131567, 2759, 33154, 4751, 112252, 1913637, 1137986, 2212732, 214503, 4854, 4855	10.1038/s42003-022-03684-3
L7PAC3	PAH-1	Phenylalanine 4-monooxygenase (EC 1.14.16.1) (Phe-4-monooxygenase) (evidence limited to its presence in a gene cluster)	phenylalanine 4-monooxygenase (EC 1.14.16.1) (Phe-4-monooxygenase)	L7PAC3	AFR32906.1	IPR018528; IPR019774; IPR018301; IPR036951; IPR019773; IPR041912; IPR002912; IPR001273; IPR036329; IPR045865	Prephenate dehydratase, conserved site; Aromatic amino acid hydroxylase, C-terminal; Aromatic amino acid hydroxylase, iron/copper binding site; Aromatic amino acid hydroxylase superfamily; Tyrosine 3-monooxygenase-like; Eukaryotic phenylalanine-4-hydroxylase, catalytic domain; ACT domain; Aromatic amino acid hydroxylase; Aromatic amino acid monoxygenase, C-terminal domain superfamily; ACT-like domain	N/A	60	K00500	K00500	Mortierella alpina (Oleaginous fungus) (Mortierella renispora)	64518	131567, 2759, 33154, 4751, 112252, 1913637, 1137986, 2212732, 214503, 4854, 4855	10.1038/s42003-022-03684-3
L7PAA8	PAH-2	Phenylalanine 4-monooxygenase (EC 1.14.16.1) (Phe-4-monooxygenase) (evidence limited to its presence in a gene cluster)	phenylalanine 4-monooxygenase (EC 1.14.16.1) (Phe-4-monooxygenase)	L7PAA8	AFR32907.1	IPR019774; IPR041912; IPR019773; IPR036329; IPR018528; IPR045865; IPR001273; IPR002912; IPR018301; IPR036951	Aromatic amino acid hydroxylase, C-terminal; Eukaryotic phenylalanine-4-hydroxylase, catalytic domain; Tyrosine 3-monooxygenase-like; Aromatic amino acid monoxygenase, C-terminal domain superfamily; Prephenate dehydratase, conserved site; ACT-like domain; Aromatic amino acid hydroxylase; ACT domain; Aromatic amino acid hydroxylase, iron/copper binding site; Aromatic amino acid hydroxylase superfamily	N/A	60	K00500	K00500	Mortierella alpina (Oleaginous fungus) (Mortierella renispora)	64518	131567, 2759, 33154, 4751, 112252, 1913637, 1137986, 2212732, 214503, 4854, 4855	10.1098/rsob.170199; 10.1128/mSystems.00230-20; 10.1038/s42003-022-03684-3
L7PA84	PCD	4a-Hydroxytetrahydrobiopterin dehydratase (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (evidence limited to its presence in a gene cluster)	4a-hydroxytetrahydrobiopterin dehydratase (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase)	L7PA84	AFR32908.1	IPR001533; IPR036428	Pterin 4 alpha carbinolamine dehydratase; Pterin 4 alpha carbinolamine dehydratase superfamily	N/A	59	K01724	K01724	Mortierella alpina (Oleaginous fungus) (Mortierella renispora)	64518	131567, 2759, 33154, 4751, 112252, 1913637, 1137986, 2212732, 214503, 4854, 4855	10.1098/rsob.170199; 10.1128/mSystems.00230-20; 10.1038/s42003-022-03684-3
B0XRM8	AroM	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	B0XRM8		IPR027417; IPR036968; IPR000623; IPR001381; IPR013792; IPR023193; IPR006264; IPR013785; IPR018508; IPR008289; IPR056179; IPR016037; IPR001986; IPR010110; IPR046346; IPR031322; IPR023000; IPR030960; IPR013708; IPR036291	P-loop containing nucleoside triphosphate hydrolase; Enolpyruvate transferase domain superfamily; Shikimate kinase/Threonine synthase-like 1; 3-dehydroquinate dehydratase type I; RNA 3'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta; 3-phosphoshikimate 1-carboxyvinyltransferase, conserved site; 3-phosphoshikimate 1-carboxyvinyltransferase; Aldolase-type TIM barrel; 3-dehydroquinate dehydratase, active site; Pentafunctional AroM protein; 3-dehydroquinate synthase, C-terminal domain; 3-dehydroquinate synthase AroB; Enolpyruvate transferase domain; Shikimate dehydrogenase, AroM-type; Aminoacid dehydrogenase-like, N-terminal domain superfamily; Shikimate kinase/gluconokinase; Shikimate kinase, conserved site; 3-dehydroquinate synthase, N-terminal domain; Shikimate dehydrogenase substrate binding, N-terminal; NAD(P)-binding domain superfamily	1.1.1.25,2.5.1.19,2.7.1.71,4.2.1.10,4.2.3.4	35	K13830; K00800; K01735	K13830	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10) (Neosartorya fumigata)	451804	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720872, 746128	10.1098/rsob.170199; 10.1128/mSystems.00230-20; 10.1038/s42003-022-03684-3
G5EB37	AroC	Chorismate mutase (EC 5.4.99.5)	Chorismate mutase (CM) (EC 5.4.99.5) (AnCM)	G5EB37	AN6866	IPR002701; IPR036263; IPR008238; IPR037039	Chorismate mutase II, prokaryotic-type; Chorismate mutase type II superfamily; Chorismate mutase, AroQ class, eukaryotic type; Chorismate mutase, AroQ class superfamily, eukaryotic	5.4.99.5	18	K01850	K01850	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720870, 162425	10.1098/rsob.170199; 10.1128/mSystems.00230-20; 10.1038/s42003-022-03684-3
G5EB34	AroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, phenylalanine-inhibited	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	G5EB34	AN5701	IPR006219; IPR013785; IPR006218	DAHP synthase, class 1; Aldolase-type TIM barrel; DAHP synthetase I/KDSA	2.5.1.54	51	K01626	K01626	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720870, 162425	10.1038/s42003-022-03684-3
Q5AME2	ARO1_Canal	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	Q5AME2		IPR006151; IPR036291; IPR001381; IPR006264; IPR031322; IPR016037; IPR001986; IPR036968; IPR013708; IPR046346; IPR030960; IPR023193; IPR027417; IPR013785; IPR008289; IPR013792; IPR000623; IPR010110; IPR041121; IPR056179	Quinate/shikimate 5-dehydrogenase/glutamyl-tRNA reductase; NAD(P)-binding domain superfamily; 3-dehydroquinate dehydratase type I; 3-phosphoshikimate 1-carboxyvinyltransferase; Shikimate kinase/gluconokinase; 3-dehydroquinate synthase AroB; Enolpyruvate transferase domain; Enolpyruvate transferase domain superfamily; Shikimate dehydrogenase substrate binding, N-terminal; Aminoacid dehydrogenase-like, N-terminal domain superfamily; 3-dehydroquinate synthase, N-terminal domain; 3-phosphoshikimate 1-carboxyvinyltransferase, conserved site; P-loop containing nucleoside triphosphate hydrolase; Aldolase-type TIM barrel; Pentafunctional AroM protein; RNA 3'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta; Shikimate kinase/Threonine synthase-like 1; Shikimate dehydrogenase, AroM-type; SDH, C-terminal; 3-dehydroquinate synthase, C-terminal domain	1.1.1.25,2.5.1.19,2.7.1.71,4.2.1.10,4.2.3.4	35	K13830; K00800; K01735	K13830	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239874, 2916678, 766764, 1535325, 5475, 5476	10.1038/s42003-022-03684-3
